label,statement,subjects,neutral_statement
True,About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes .,"crime,government-regulation,guns","assistant

Approximately 1 percent of all gun sellers are responsible for more than half of the guns used in crimes."
False,On pay for fired Milwaukee police officers,state-budget,"assistant

The city of Milwaukee has a process in place for paying former police officers who are terminated from their positions."
True,Texas is the state that has now gone the longest without electing a Democrat statewide .,"elections,history","assistant

Texas has not elected a Democrat to a statewide office in recent years."
False,Says CNN reported Ben Carson was taking a break from campaigning and the Cruz campaign forwarded that news to our volunteers .,candidates-biography,"assistant

CNN reported that Ben Carson was taking a break from campaigning, and the Cruz campaign informed their volunteers of this development."
True,Today if you were raised poor youre just as likely to stay poor as you were 50 years ago .,"families,income,poverty","assistant

Research suggests that individuals from low-income backgrounds have a similar likelihood of experiencing poverty as they did 50 years ago."
False,Says President Barack Obama told a room of students Children every time I clap my hands together a child in America dies from gun violence and then a child told him he could solve the problem by not clapping any more .,guns,"assistant

President Barack Obama stated to a group of students that every time he clapped his hands, a child in America died from gun violence. A student then responded by suggesting that the problem could be solved by not clapping."
True,The United States has the longest surviving constitution .,"foreign-policy,history,new-hampshire-2012","assistant

The United States has one of the longest surviving constitutions."
True,Says In Oregon in 2010 49 percent of all pregnancies were unintended .,"children,families,health-care,women","assistant

In Oregon in 2010, 49 percent of all pregnancies were unintended."
True,Austin school district teachers are the lowest paid of any urban Texas district and the lowest paid of any surrounding school district .,"education,state-budget,state-finances","assistant

Austin school district teachers have lower salaries compared to other urban Texas districts and surrounding school districts."
True,Says Clackamas County has more urban renewal debt than all the other Oregon counties combined .,county-government,"assistant

Clackamas County has a higher amount of urban renewal debt compared to other Oregon counties."
False,NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming .,"climate-change,environment","assistant

NASA scientists adjusted their data to make 1998 the hottest year on record in order to emphasize the trend of global warming."
True,The University of Wisconsin System is larger than any business in the state of Wisconsin .,state-budget,"assistant

The University of Wisconsin System is the largest employer in the state of Wisconsin."
False,There is no record of congresswoman Betty Sutton . ever holding a single in-person town hall meeting open to the general public .,job-accomplishments,"assistant

Congresswoman Betty Sutton has not been recorded as hosting an in-person town hall meeting open to the general public."
