label,statement,subjects,domain,tone
half-true,Says a Ted Cruz ad has got me bull-dozing down a house.I never bulldozed it down . Its false advertising .,housing,housing,neutral
half-true,Wages adjusted for inflation havent risen since the turn of the last century .,"economy,jobs,workers",economy,subjective
half-true,Says 95 percent of people caught crossing the U.S . Mexico border said in a survey we are coming because weve been promised amnesty .,immigration,immigration,subjective
barely-true,There would be tens of thousands of jobs created if President Barack Obama approved the Keystone XL pipeline .,"environment,jobs",energy,subjective
half-true,Weve brought trade cases against China at nearly twice the rate as the last administration .,"bush-administration,china,job-accomplishments,trade",business,base
mostly-true,When we started this health care debate a year ago 85 percent of the American people had health insurance and 95 percent of the 85 percent were happy with it .,"health-care,pundits",health,emotional
true,Since John F. Kennedy was assassinated in 1963 more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars .,guns,military,subjective
mostly-true,Obama said he would unilaterally renegotiate the North American Free Trade Agreement .,foreign-policy,politics,neutral
barely-true,In the 513 days between Trayvon dying and todays verdict 11106 African-Americans have been murdered by other African-Americans .,crime,crime,emotional
false,Says If you compare the Portland Metro area to the CDCs statewide cavity rates . the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,"public-health,water",health,neutral
mostly-true,He received A ratings from every conservative organization that gives ratings .,job-accomplishments,politics,base
true,It costs $10000 a year to keep a child in school ; it costs $30000 a year to keep someone in prison .,"crime,education,public-safety,state-budget",education,emotional
false,Says Republican Rep . Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience .,"congress,congressional-rules,corrections-and-updates",politics,subjective
false,He was offered medical care for his injuries if he would give up military information in return . John McCain said No .,candidates-biography,health,neutral
mostly-true,Two-thirds of Wisconsin corporations dont pay state income taxes .,"corporations,income,taxes",business,neutral
barely-true,There are literally teachers now who are getting pink slips because of sequestration .,"education,federal-budget",education,subjective
false,Obamacare . will kill jobs across America .,"health-care,jobs,message-machine-2012",health,base
true,Last weeks three most-viewed television programs wereSunday Night Football Thursday Night Football and Monday Night Football .,sports,sports,neutral
true,On federal stimulus money for expanding rail service .,"federal-budget,state-budget,stimulus,transportation",transportation,neutral
true,About 106000 soldiers had a prescription of three weeks or more for pain depression or anxiety medication .,"health-care,military,abc-news-week",military,emotional
mostly-true,Georgia loses millions of dollars of revenue because people go out of state to buy fireworks .,"economy,states",business,emotional
pants-fire,If you and I fail to defund ObamaCare now some 16000 new IRS agents will be begin prying into our private medical records eyeing each and every one of our treatments and prescriptions for violations .,"health-care,retirement",health,emotional
true,John McCain says it s okay with him if the U.S. spends the next thousand years in Iraq .,iraq,foreign policy,emotional
true,Says that in 2015 illegal immigrants accounted for 75 percent of federal drug possession convictions and 5 percent to 30 percent of convictions for murder and kidnapping plus two other crimes .,"crime,criminal-justice,immigration",crime,neutral
mostly-true,The Clinton Foundation is a charity where President and Secretary Clinton and their daughter they take no salary they get no money from it they take no personal benefit from it .,"candidates-biography,ethics",culture,neutral
false,Says his bill HB 97 would prevent the use of taxpayer dollars on abortions .,"abortion,health-care",social issues,neutral
mostly-true,The average Atlanta resident spends an extra $924 each year in additional gasoline and wasted time .,transportation,transportation,subjective
pants-fire,Federal health care reforms amounted to the government takeover of health care .,health-care,health,subjective
half-true,Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd .,iraq,foreign policy,neutral
half-true,Saturday Night Live executive producer Lorne Michaels could be put in jail under this amendment for making fun of any politician .,"campaign-finance,legal-issues",crime,subjective
false,When he worked for ATT he was responsible for large parts in a $5 billion organization .,job-accomplishments,business,the
mostly-true,6400 Ohioans . lost manufacturing jobs in the month of September .,"economy,jobs",business,neutral
